name,type,rarity,baseAttack,subStat,passiveDesc
A Thousand Floating Dreams,Catalyst,5,44,Elemental Mastery,"Party members other than the equipping character will provide the equipping character with buffs based on whether their Elemental Type is the same as the latter or not. If their Elemental Types are the same, increase Elemental Mastery by 32. If not, increase the equipping character's DMG Bonus from their Elemental Type by 10%. Each of the aforementioned effects can have up to 3 stacks. Additionally, all nearby party members other than the equipping character will have their Elemental Mastery increased by 40. Multiple such effects from multiple such weapons can stack."
Akuoumaru,Claymore,4,42,ATK,"For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12/0.15/0.18/0.21/0.24%. A maximum of 40/50/60/70/80% increased Elemental Burst DMG can be achieved this way."
Alley Hunter,Bow,4,41,Attack,"Every 4s a character is on the field, their ATK increases by 4/5/6/7/8% and their CRIT DMG increases by 4/5/6/7/8%. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be cleared when the character takes DMG."
Amber Catalyst,Catalyst,3,40,Elemental Mastery,Normal Attack hits increase all Elemental DMG by 6/7.5/9/10.5/12% for 6s. Max 2 stacks.
Amenoma Kageuchi,Sword,4,41,ATK,"After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 6/7.5/9/10.5/12 Energy for each seed consumed."
Amos' Bow,Bow,5,46,ATK,"Increases Normal Attack and Aimed Shot DMG by 12/15/18/21/24%. Increases DMG from arrows shot by a further 8/10/12/14/16% for every 0.1s that the arrow is in flight, up to 0.5s. Stacks up to 5 times on each arrow."
Apprentice's Notes,Catalyst,1,23,-,-
Aqua Simulacra,Bow,5,44,CRIT DMG,"HP is increased by 16%. When there are opponents nearby, the DMG dealt by the wielder of this weapon is increased by 20%. This will take effect whether the character is on-field or not."
Aquila Favonia,Sword,5,48,Physical DMG Bonus,"ATK is increased by 20/25/30/35/40%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 100/115/130/145/160% of ATK and dealing 200/230/260/290/320% of ATK as DMG to surrounding enemies. This effect can only occur once every 15s."
Ballad of the Boundless Blue,Catalyst,4,44,Energy Recharge,"Within 6s after Normal or Charged Attacks hit an opponent, Normal Attack DMG will be increased by 8/10/12/14/16% and Charged Attack DMG will be increased by 6/7.5/9/10.5/12%. Max 3 stacks. This effect can be triggered once every 0.3s."
